FOSS project name,description,stars,forks,issues,watchers
THUDM/ChatGLM-6B,ChatGLM-6B: An Open Bilingual Dialogue Language Model | 开源双语对话语言模型,41039,5223,556,393
run-llama/llama_index,LlamaIndex is the leading framework for building LLM-powered agents over your data.,41024,5842,511,258
apache/spark,Apache Spark - A unified analytics engine for large-scale data processing,40957,28500,0,2016
OpenBB-finance/OpenBB,"Investment Research for Everyone, Everywhere.",40943,3644,36,319
apache/dubbo,The java implementation of Apache Dubbo. An RPC and microservice framework.,40916,26523,826,3023
Light-City/CPlusPlusThings,C++那些事,40912,8689,9,552
cline/cline,"Autonomous coding agent right in your IDE, capable of creating/editing files, executing commands, using the browser, and more with your permission every step of the way.",40827,4511,542,240
nolimits4web/swiper,Most modern mobile touch slider with hardware accelerated transitions,40825,9750,186,683
Stability-AI/stablediffusion,High-Resolution Image Synthesis with Latent Diffusion Models,40790,5206,247,451
hpcaitech/ColossalAI,"Making large AI models cheaper, faster and more accessible",40789,4495,427,393
styled-components/styled-components,Visual primitives for the component age. Use the best bits of ES6 and CSS to style your apps without stress 💅,40785,2507,297,344
karpathy/nanoGPT,"The simplest, fastest repository for training/finetuning medium-sized GPTs.",40763,6740,222,402
nwjs/nw.js,Call all Node.js modules directly from DOM/WebWorker and enable a new way of writing applications with all Web technologies.,40679,3878,924,1562
dcloudio/uni-app,A cross-platform framework using Vue.js,40656,3675,734,513
coreybutler/nvm-windows,A node.js version management utility for Windows. Ironically written in Go.,40652,3493,77,461
termux/termux-app,Termux - a terminal emulator application for Android OS extendible by variety of packages.,40649,4378,371,1315
mingrammer/diagrams,:art: Diagram as Code for prototyping cloud system architectures,40624,2604,309,405
Kong/kong,🦍 The Cloud-Native API Gateway and AI Gateway.,40610,4906,63,1020
getsentry/sentry,Developer-first error tracking and performance monitoring,40606,4320,2159,688
apachecn/ailearning,AiLearning：数据分析+机器学习实战+线性代数+PyTorch+NLTK+TF2,40596,11542,2,1670
vuetifyjs/vuetify,🐉 Vue Component Framework,40437,6991,556,586
hexojs/hexo,"A fast, simple & powerful blog framework, powered by Node.js.",40235,4910,81,810
coollabsio/coolify,An open-source & self-hostable Heroku / Netlify / Vercel alternative.,40205,2403,442,128
ClickHouse/ClickHouse,ClickHouse® is a real-time analytics database management system,40195,7227,4025,690
spf13/cobra,A Commander for modern Go CLI interactions,40157,2919,218,368
psf/black,The uncompromising Python code formatter,40103,2569,333,232
fastlane/fastlane,🚀 The easiest way to automate building and releasing your iOS and Android apps,40077,5796,643,727
iina/iina,The modern video player for macOS.,40070,2623,1743,531
2dust/v2rayNG,"A V2Ray client for Android, support Xray core and v2fly core",39986,5924,5,562
KRTirtho/spotube,🎧 Open source Spotify client that doesn't require Premium nor uses Electron! Available for both desktop & mobile!,39932,1649,730,186
unclecode/crawl4ai,"🚀🤖 Crawl4AI: Open-source LLM Friendly Web Crawler & Scraper. Don't be shy, join here: https://discord.gg/jP8KfhDhyN",39928,3581,99,246
apache/airflow,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows",39669,14902,1105,766
tldraw/tldraw,whiteboard SDK / infinite canvas SDK,39631,2471,278,158
punkpeye/awesome-mcp-servers,A collection of MCP servers.,39604,2823,5,288
ultralytics/ultralytics,Ultralytics YOLO11 🚀,39591,7687,760,192
bannedbook/fanqiang,翻墙-科学上网,39513,7333,324,1199
coqui-ai/TTS,"🐸💬 - a deep learning toolkit for Text-to-Speech, battle-tested in research and production",39427,4987,17,313
ggml-org/whisper.cpp,Port of OpenAI's Whisper model in C/C++,39331,4123,864,329
LC044/WeChatMsg,,39272,4086,0,188
chubin/cheat.sh,the only cheat sheet you need,39258,1811,120,582
typst/typst,A new markup-based typesetting system that is powerful and easy to learn.,39246,1075,786,106
expo/expo,"An open-source framework for making universal native apps with React. Expo runs on Android, iOS, and the web.",39180,6613,492,315
tabler/tabler,Tabler is free and open-source HTML Dashboard UI Kit built on Bootstrap,39122,4129,49,645
bevyengine/bevy,A refreshingly simple data-driven game engine built in Rust,39038,3843,2177,303
google-research/bert,TensorFlow code and pre-trained models for BERT,39029,9673,791,997
usememos/memos,"An open-source, lightweight note-taking solution. The pain-less way to create your meaningful notes. Your Notes, Your Way.",38979,2786,26,164
1c7/chinese-independent-developer,👩🏿‍💻👨🏾‍💻👩🏼‍💻👨🏽‍💻👩🏻‍💻中国独立开发者项目列表 -- 分享大家都在做什么,38964,3223,1,1247
chakra-ui/chakra-ui,Chakra UI is a component system for building products with speed ⚡️,38963,3397,13,202
floodsung/Deep-Learning-Papers-Reading-Roadmap,Deep Learning papers reading roadmap for anyone who are eager to learn this amazing tech!,38945,7349,52,2096
cli/cli,GitHub’s official command line tool,38906,6434,753,934
php/php-src,The PHP Interpreter,38905,7837,785,1376
streamlit/streamlit,Streamlit — A faster way to build and share data apps.,38875,3395,1038,323
Dogfalo/materialize,"Materialize, a CSS Framework based on Material Design",38873,4727,624,959
jellyfin/jellyfin,The Free Software Media System - Server Backend & API,38851,3460,395,326
evanw/esbuild,An extremely fast bundler for the web,38820,1198,496,271
wg/wrk,Modern HTTP benchmarking tool,38799,2985,143,748
mitmproxy/mitmproxy,An interactive TLS-capable intercepting HTTP proxy for penetration testers and software developers.,38752,4156,323,628
bradtraversy/50projects50days,"50+ mini web projects using HTML, CSS & JS",38740,9451,0,620
videojs/video.js,Video.js - open source HTML5 video player,38669,7504,551,1254
zhongyang219/TrafficMonitor,这是一个用于显示当前网速、CPU及内存利用率的桌面悬浮窗软件，并支持任务栏显示，支持更换皮肤。,38593,3417,1146,282
ziglang/zig,"General-purpose programming language and toolchain for maintaining robust, optimal, and reusable software.",38593,2791,3164,383
docker/awesome-compose,Awesome Docker Compose samples,38563,7235,84,464
NaiboWang/EasySpider,A visual no-code/code-free web crawler/spider易采集：一个可视化浏览器自动化测试/数据采集/爬虫软件，可以无代码图形化的设计和执行爬虫任务。别名：ServiceWrapper面向Web应用的智能化服务封装系统。,38517,4728,187,235
freqtrade/freqtrade,"Free, open source crypto trading bot",38466,7567,32,705
GokuMohandas/Made-With-ML,"Learn how to design, develop, deploy and iterate on production-grade ML applications.",38420,6089,17,1234
lm-sys/FastChat,"An open platform for training, serving, and evaluating large language models. Release repo for Vicuna and Chatbot Arena.",38419,4697,819,355
pingcap/tidb,"TiDB - the open-source, cloud-native, distributed SQL database designed for modern applications.",38288,5919,3865,1245
QSCTech/zju-icicles,浙江大学课程攻略共享计划,38240,9499,9,1105
byoungd/English-level-up-tips,An advanced guide to learn English which might benefit you a lot 🎉 .  离谱的英语学习指南/英语学习教程。,38232,4197,28,917
google/styleguide,Style guides for Google-originated open-source projects,38091,13019,113,1262
modelcontextprotocol/servers,Model Context Protocol Servers,38024,4114,280,290
go-gorm/gorm,"The fantastic ORM library for Golang, aims to be developer friendly",38009,3996,428,492
deepspeedai/DeepSpeed,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and effective.",37986,4338,1034,351
vim/vim,The official Vim repository,37963,5641,1471,668
PhilJay/MPAndroidChart,"A powerful 🚀 Android chart view / graph view library, supporting line- bar- pie- radar- bubble- and candlestick charts as well as scaling, panning and animations.",37920,9038,2062,1107
astral-sh/ruff,"An extremely fast Python linter and code formatter, written in Rust.",37872,1297,1425,91
phaserjs/phaser,"Phaser is a fun, free and fast 2D game framework for making HTML5 games for desktop and mobile web browsers, supporting Canvas and WebGL rendering.",37803,7118,53,1194
impress/impress.js,It's a presentation framework based on the power of CSS3 transforms and transitions in modern browsers and inspired by the idea behind prezi.com.,37775,6653,55,1216
QuivrHQ/quivr,"Opiniated RAG for integrating GenAI in your apps 🧠   Focus on your product rather than the RAG. Easy integration in existing products with customisation!  Any LLM: GPT4, Groq, Llama. Any Vectorstore: PGVector, Faiss. Any Files. Anyway you want. ",37720,3637,8,281
curl/curl,"A command line tool and library for transferring data with URL syntax, supporting DICT, FILE, FTP, FTPS, GOPHER, GOPHERS, HTTP, HTTPS, IMAP, IMAPS, LDAP, LDAPS, MQTT, POP3, POP3S, RTMP, RTMPS, RTSP, SCP, SFTP, SMB, SMBS, SMTP, SMTPS, TELNET, TFTP, WS and WSS. libcurl offers a myriad of powerful features",37646,6666,19,783
penpot/penpot,Penpot: The open-source design tool for design and code collaboration,37620,1934,425,228
lukasz-madon/awesome-remote-job,A curated list of awesome remote jobs and resources. Inspired by https://github.com/vinta/awesome-python,37604,4109,3,1116
sharkdp/fd,"A simple, fast and user-friendly alternative to 'find'",37555,864,116,150
gradio-app/gradio,"Build and share delightful machine learning apps, all in Python. 🌟 Star to support our work!",37537,2855,464,183
AykutSarac/jsoncrack.com,"✨ Innovative and open-source visualization application that transforms various data formats, such as JSON, YAML, XML, CSV and more, into interactive graphs.",37513,2475,33,207
suno-ai/bark,🔊 Text-Prompted Generative Audio Model,37497,4440,227,329
google/leveldb,LevelDB is a fast key-value storage library written at Google that provides an ordered mapping from string keys to string values.,37469,7975,236,1317
SimplifyJobs/Summer2025-Internships,Collection of Summer 2025 tech internships!,37446,2903,7,1507
freefq/free,翻墙、免费翻墙、免费科学上网、免费节点、免费梯子、免费ss/v2ray/trojan节点、蓝灯、谷歌商店、翻墙梯子,37423,5723,510,850
preactjs/preact,⚛️ Fast 3kB React alternative with the same modern API. Components & Virtual DOM.,37380,1983,73,395
LadybirdBrowser/ladybird,Truly independent web browser,37376,1557,374,201
FlowiseAI/Flowise,Drag & drop UI to build your customized LLM flow,37348,19452,534,285
aria2/aria2,"aria2 is a lightweight multi-protocol & multi-source, cross platform download utility operated in command-line. It supports HTTP/HTTPS, FTP, SFTP, BitTorrent and Metalink.",37347,3687,1061,746
GitHubDaily/GitHubDaily,"坚持分享 GitHub 上高质量、有趣实用的开源技术教程、开发者工具、编程网站、技术资讯。A list cool, interesting projects of GitHub.",37346,3915,339,1324
LAION-AI/Open-Assistant,"OpenAssistant is a chat-based assistant that understands tasks, can interact with third-party systems, and retrieve information dynamically to do so.",37306,3266,227,438
FreeCodeCampChina/freecodecamp.cn,FCC China open source codebase and curriculum. Learn to code and help nonprofits.,37286,1375,141,782
unslothai/unsloth,"Finetune Llama 4, DeepSeek-R1, Gemma 3 & Reasoning LLMs 2x faster with 70% less memory! 🦥",37249,2901,956,219
koalaman/shellcheck,"ShellCheck, a static analysis tool for shell scripts",37245,1808,1094,413
tw93/Pake,🤱🏻 Turn any webpage into a desktop app with Rust.  🤱🏻 利用 Rust 轻松构建轻量级多端桌面应用,37227,6720,46,213
colinhacks/zod,TypeScript-first schema validation with static type inference,37194,1386,561,69
tmux/tmux,tmux source code,37155,2183,57,436
eugenp/tutorials,Getting Started with Spring Boot 3: ,37123,54350,18,1499
gto76/python-cheatsheet,Comprehensive Python Cheatsheet,37076,6604,5,963
microsoft/AI-For-Beginners,"12 Weeks, 24 Lessons, AI for All!",37057,6757,23,432
ant-design/ant-design-pro,👨🏻‍💻👩🏻‍💻 Use Ant Design like a Pro!,37029,8182,200,740
dylanaraps/pure-bash-bible,📖 A collection of pure bash alternatives to external processes.,37027,3335,44,748
photoprism/photoprism,AI-Powered Photos App for the Decentralized Web 🌈💎✨,37018,2046,433,331
trpc/trpc,🧙‍♀️  Move Fast and Break Nothing. End-to-end typesafe APIs made easy. ,36980,1348,122,90
helix-editor/helix,A post-modern modal text editor.,36976,2757,772,198
jgm/pandoc,Universal markup converter,36948,3488,1034,519
0voice/interview_internal_reference,2023年最新总结，阿里，腾讯，百度，美团，头条等技术面试题目，以及答案，专家出题人分析汇总。,36888,9462,29,1503
files-community/Files,A modern file manager that helps users organize their files and folders.,36803,2316,467,396
novuhq/novu,"The open-source notification Inbox infrastructure. E-mail, SMS, Push and Slack Integrations.",36803,4001,221,171
istio/istio,"Connect, secure, control, and observe services.",36754,7939,485,975
inkonchain/docs,Ink Documentation,36737,398,17,60
inkonchain/node,How to run an Ink Node,36691,569,8,85
appsmithorg/appsmith,"Platform to build admin panels, internal tools, and dashboards. Integrates with 25+ databases and any API.",36688,4000,4217,288
ray-project/ray,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.,36619,6228,3839,480
TencentARC/GFPGAN,GFPGAN aims at developing Practical Algorithms for Real-world Face Restoration.,36606,6071,361,510
inkonchain/ink-kit,"Onchain-focused SDK with ready-to-use templates, themes, and magical animated components ✨",36584,387,1,59
dotnet/aspnetcore,"ASP.NET Core is a cross-platform .NET framework for building modern cloud-based web applications on Windows, Mac, or Linux.",36479,10305,3552,1442
AobingJava/JavaFamily,【Java面试+Java学习指南】 一份涵盖大部分Java程序员所需要掌握的核心知识。,36426,7815,3,1130
upscayl/upscayl,"🆙 Upscayl - #1 Free and Open Source AI Image Upscaler for Linux, MacOS and Windows.",36410,1677,60,170
naptha/tesseract.js,Pure Javascript OCR for more than 100 Languages 📖🎉🖥,36400,2284,30,478
saadeghi/daisyui,"🌼 🌼 🌼 🌼 🌼  The most popular, free and open-source Tailwind CSS component library",36387,1434,13,157
zhayujie/chatgpt-on-wechat,基于大模型搭建的聊天机器人，同时支持 微信公众号、企业微信应用、飞书、钉钉 等接入，可选择GPT4.1/GPT-4o/GPT-o1/ DeepSeek/Claude/文心一言/讯飞星火/通义千问/ Gemini/GLM-4/Kimi/LinkAI，能处理文本、语音和图片，访问操作系统和互联网，支持基于自有知识库进行定制企业智能客服。,36386,9103,289,260
NervJS/taro,开放式跨端跨框架解决方案，支持使用 React/Vue/Nerv 等框架来开发微信/京东/百度/支付宝/字节跳动/ QQ 小程序/H5/React Native 等应用。  https://taro.zone/,36370,4824,1427,692
exacity/deeplearningbook-chinese,Deep Learning Book Chinese Translation,36328,9141,64,2188
DIYgod/RSSHub,🧡 Everything is RSSible,36277,7968,353,356
vlang/v,"Simple, fast, safe, compiled language for developing maintainable software. Compiles itself in <1s with zero library dependencies. Supports automatic C => V translation. https://vlang.io",36268,2181,1027,470
mendableai/firecrawl,"🔥 Turn entire websites into LLM-ready markdown or structured data. Scrape, crawl and extract with a single API.",36196,3219,152,192
denysdovhan/wtfjs,🤪 A list of funny and tricky JavaScript examples,36184,2603,19,562
satwikkansal/wtfpython,What the f*ck Python? 😱,36177,2673,65,713
alibaba/arthas,Alibaba Java Diagnostic Tool Arthas/Alibaba Java诊断利器Arthas,36167,7543,351,1128
gofiber/fiber,⚡️ Express inspired web framework written in Go,36147,1762,105,281
babysor/MockingBird,🚀AI拟声: 5秒内克隆您的声音并生成任意语音内容 Clone a voice in 5 seconds to generate arbitrary speech in real-time,36146,5249,475,304
opentofu/manifesto,The OpenTF Manifesto expresses concern over HashiCorp's switch of the Terraform license from open-source to the Business Source License (BSL) and calls for the tool's return to a truly open-source license.,36124,1079,13,63
freeCodeCamp/devdocs,API Documentation Browser,36122,2415,184,663
Kong/insomnia,"The open-source, cross-platform API client for GraphQL, REST, WebSockets, SSE and gRPC. With Cloud, Local and Git storage.",36113,2064,665,250
slidevjs/slidev,Presentation Slides for Developers,36101,1484,116,143
logseq/logseq,"A privacy-first, open-source platform for knowledge management and collaboration. Download link:  http://github.com/logseq/logseq/releases. roadmap: http://trello.com/b/8txSM12G/roadmap",36042,2120,1392,233
open-guides/og-aws,📙 Amazon Web Services — a practical guide,35944,3891,140,1208
huihut/interview,"📚 C/C++ 技术面试基础知识总结，包括语言、程序库、数据结构、算法、系统、网络、链接装载库等知识及面试经验、招聘、内推等信息。This repository is a summary of the basic knowledge of recruiting job seekers and beginners in the direction of C/C++ technology, including language, program library, data structure, algorithm, system, network, link loading library, interview experience, recruitment, recommendation, etc.",35921,8042,25,864
lerna/lerna,"Lerna is a fast, modern build system for managing and publishing multiple JavaScript/TypeScript packages from the same repository.",35912,2280,386,249
XingangPan/DragGAN,Official Code for DragGAN (SIGGRAPH 2023),35898,3446,144,984
google/googletest,GoogleTest - Google Testing and Mocking Framework,35890,10328,316,1233
2noise/ChatTTS,A generative speech model for daily dialogue.,35815,3889,69,196
openai/gym,A toolkit for developing and comparing reinforcement learning algorithms.,35805,8662,111,1056
calcom/cal.com,Scheduling infrastructure for absolutely everyone.,35801,9172,930,166
date-fns/date-fns,⏳ Modern JavaScript date utility library ⌛️,35652,1817,609,207
goabstract/Awesome-Design-Tools,The best design tools and plugins for everything 👉,35624,2119,18,553
shadowsocks/shadowsocks-android,A shadowsocks client for Android,35612,11565,44,1563
ccxt/ccxt,A JavaScript / TypeScript / Python / C# / PHP / Go cryptocurrency trading API with support for more than 100 bitcoin/altcoin exchanges,35598,7816,961,936
geekxh/hello-algorithm,🌍 针对小白的算法训练 | 包括四部分：①.大厂面经 ②.力扣图解  ③.千本开源电子书 ④.百张技术思维导图（项目花了上百小时，希望可以点 star 支持，🌹感谢~）推荐免费ChatGPT使用网站,35574,6468,12,650
SheetJS/sheetjs,📗 SheetJS Spreadsheet Data Toolkit -- New home https://git.sheetjs.com/SheetJS/sheetjs,35571,7993,119,607
karanpratapsingh/system-design,Learn how to design systems at scale and prepare for system design interviews,35440,4120,1,315
koajs/koa,Expressive middleware for node.js using ES2017 async functions,35410,3221,16,821
alvarotrigo/fullPage.js,fullPage plugin by Alvaro Trigo. Create full screen pages fast and simple,35403,7261,134,829
makeplane/plane,"🔥 🔥 🔥 Open Source JIRA, Linear, Monday, and Asana Alternative. Plane helps you track your issues, epics, and cycles the easiest way on the planet.",35391,2190,455,133
ToolJet/ToolJet,"Low-code platform for building business applications. Connect to databases, cloud storages, GraphQL, API endpoints, Airtable, Google sheets, OpenAI, etc and build apps using drag and drop application builder. Built using JavaScript/TypeScript. 🚀",35381,4549,669,188
rapid7/metasploit-framework,Metasploit Framework,35370,14268,430,2052
google-research/google-research,Google Research,35360,8069,954,751
httpie/cli,"🥧 HTTPie CLI  — modern, user-friendly command-line HTTP client for the API era. JSON support, colors, sessions, downloads, plugins & more.",35304,3698,166,87
airbnb/lottie-android,"Render After Effects animations natively on Android and iOS, Web, and React Native",35286,5438,27,846
halo-dev/halo,强大易用的开源建站工具。,35236,9859,362,481
typeorm/typeorm,"ORM for TypeScript and JavaScript. Supports MySQL, PostgreSQL, MariaDB, SQLite, MS SQL Server, Oracle, SAP Hana, WebSQL databases. Works in NodeJS, Browser, Ionic, Cordova and Electron platforms.",35215,6395,2324,350
docker/compose,Define and run multi-container applications with Docker,35195,5371,79,715
formulahendry/955.WLB,955 不加班的公司名单 - 工作 955，work–life balance (工作与生活的平衡),35171,1762,180,720
nativefier/nativefier,Make any web page a desktop application,35137,2217,255,443
lapce/lapce,Lightning-fast and Powerful Code Editor written in Rust,35135,1074,787,190
jondot/awesome-react-native,"Awesome React Native components, news, tools, and learning material!",35076,4007,38,1096
carbon-app/carbon,:black_heart: Create and share beautiful images of your source code,35056,1941,54,244
sahat/hackathon-starter,A boilerplate for Node.js web applications,34985,8177,2,761
hankcs/HanLP,"Natural Language Processing for the next decade. Tokenization, Part-of-Speech Tagging, Named Entity Recognition, Syntactic & Semantic Dependency Parsing, Document Classification",34881,10539,9,1127
unknwon/the-way-to-go_ZH_CN,《The Way to Go》中文译本，中文正式名《Go 入门指南》,34854,8609,0,1250
bumptech/glide,An image loading and caching library for Android focused on smooth scrolling,34845,6155,552,1037
nushell/nushell,A new type of shell,34809,1801,1483,197
junegunn/vim-plug,:hibiscus: Minimalist Vim Plugin Manager,34759,1947,69,374
chatchat-space/Langchain-Chatchat,"Langchain-Chatchat（原Langchain-ChatGLM）基于 Langchain 与 ChatGLM, Qwen 与 Llama 等语言模型的 RAG 与 Agent 应用 | Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM, Qwen and Llama) RAG and Agent app with langchain ",34718,5857,194,295
chenfei-wu/TaskMatrix,,34493,3295,220,301
markedjs/marked,A markdown parser and compiler. Built for speed.,34411,3442,17,391
nodejs/node-v0.x-archive,Moved to https://github.com/nodejs/node,34411,7300,0,2037
facebookresearch/faiss,A library for efficient similarity search and clustering of dense vectors.,34389,3842,224,480
BVLC/caffe,Caffe: a fast open framework for deep learning.,34308,18636,898,2089
spacedriveapp/spacedrive,"Spacedrive is an open source cross-platform file explorer, powered by a virtual distributed filesystem written in Rust.",34302,1041,115,208
chatboxai/chatbox,"User-friendly Desktop Client App for AI Models/LLMs (GPT, Claude, Gemini, Ollama...)",34231,3265,652,187
dockur/windows,Windows inside a Docker container.,34228,2445,16,176
jaredpalmer/formik,"Build forms in React, without the tears 😭 ",34225,2807,699,229
PKUanonym/REKCARC-TSC-UHT,"清华大学计算机系课程攻略 Guidance for courses in Department of Computer Science and Technology, Tsinghua University",34187,7691,1,888
sorrycc/awesome-javascript,"🐢 A collection of awesome browser-side  JavaScript libraries, resources and shiny things.",34159,4457,5,1064
milvus-io/milvus,"Milvus is a high-performance, cloud-native vector database built for scalable vector ANN search",34137,3160,661,302
zenorocha/clipboard.js,:scissors: Modern copy to clipboard. No Flash. Just 3kb gzipped :clipboard:,34127,3967,10,416
alebcay/awesome-shell,"A curated list of awesome command-line frameworks, toolkits, guides and gizmos. Inspired by awesome-php.",34127,2409,35,772
xitu/gold-miner,🥇掘金翻译计划，可能是世界最大最好的英译中技术社区，最懂读者和译者的翻译平台：,34056,5042,5,1266
netty/netty,Netty project - an event-driven asynchronous network application framework,34032,16059,595,1724
testerSunshine/12306,12306智能刷票，订票,34013,9770,225,841
payloadcms/payload,"Payload is the open-source, fullstack Next.js framework, giving you instant backend superpowers. Get a full TypeScript backend and admin panel instantly. Use Payload as a headless CMS or for building powerful applications.",34011,2317,298,136
fxsjy/jieba,结巴中文分词,33988,6731,630,1279
siyuan-note/siyuan,"A privacy-first, self-hosted, fully open source personal knowledge management software, written in typescript and golang.",33966,2079,311,150
sqlmapproject/sqlmap,Automatic SQL injection and database takeover tool,33908,5852,49,1099
gedoor/legado,"Legado 3.0 Book Reader with powerful controls & full functions❤️阅读3.0, 阅读是一款可以自定义来源阅读网络内容的工具，为广大网络文学爱好者提供一种方便、快捷舒适的试读体验。",33906,4269,78,258
huggingface/pytorch-image-models,"The largest collection of PyTorch image encoders / backbones. Including train, eval, inference, export scripts, and pretrained weights -- ResNet, ResNeXT, EfficientNet, NFNet, Vision Transformer (ViT), MobileNetV4, MobileNet-V3 & V2, RegNet, DPN, CSPNet, Swin Transformer, MaxViT, CoAtNet, ConvNeXt, and more",33854,4894,50,316
atlassian/react-beautiful-dnd,Beautiful and accessible drag and drop for lists with React,33842,2707,571,243
reworkd/AgentGPT,"🤖 Assemble, configure, and deploy autonomous AI Agents in your browser.",33806,9394,127,321
fengdu78/Coursera-ML-AndrewNg-Notes,吴恩达老师的机器学习课程个人笔记,33685,10853,53,1004
doocs/leetcode,🔥LeetCode solutions in any programming language | 多种编程语言实现 LeetCode、《剑指 Offer（第 2 版）》、《程序员面试金典（第 6 版）》题解,33678,8992,0,333
shadowsocks/shadowsocks,,33622,18490,0,2051
xkcoding/spring-boot-demo,🚀一个用来深入学习并实战 Spring Boot 的项目。,33584,10963,97,1011
Blankj/AndroidUtilCode,:fire: Android developers should collect the following utils(updating).,33542,10709,303,1171
TeamNewPipe/NewPipe,A libre lightweight streaming front-end for Android.,33530,3178,1198,609
fastify/fastify,"Fast and low overhead web framework, for Node.js",33519,2393,66,300
laravel/framework,The Laravel Framework.,33498,11317,34,959
halfrost/LeetCode-Go,"✅ Solutions to LeetCode by Go, 100% test coverage, runtime beats 100% / LeetCode 题解",33468,5775,16,627
AFNetworking/AFNetworking,"A delightful networking framework for iOS, macOS, watchOS, and tvOS.",33439,10472,0,1589
typicode/husky,Git hooks made easy 🐶 woof!,33364,1048,65,157
solidjs/solid,"A declarative, efficient, and flexible JavaScript library for building user interfaces.",33352,962,109,212
zbezj/HEU_KMS_Activator,,33307,3349,141,406
alibaba/easyexcel,快速、简洁、解决大文件内存溢出的java处理Excel工具,33295,7630,478,594
zxing/zxing,"ZXing (""Zebra Crossing"") barcode scanning library for Java, Android",33232,9391,6,1655
XX-net/XX-Net,A proxy tool to bypass GFW.,33230,7659,7910,1632
adobe/brackets,"An open source code editor for the web, written in JavaScript, HTML and CSS.",33223,7588,2617,1561
karpathy/LLM101n,LLM101n: Let's build a Storyteller,33202,1812,0,3144
pola-rs/polars,"Dataframes powered by a multithreaded, vectorized query engine, written in Rust",33145,2175,2322,166
jaywcjlove/linux-command,Linux命令大全搜索工具，内容包含Linux命令手册、详解、学习、搜集。https://git.io/linux,33122,6334,73,553
TheAlgorithms/JavaScript,"Algorithms and Data Structures implemented in JavaScript for beginners, following best practices.",33108,5689,8,622
gulpjs/gulp,A toolkit to automate & enhance your workflow,33084,4224,30,1019
immutable-js/immutable-js,Immutable persistent data collections for Javascript which increase efficiency and simplicity.,33042,1783,94,495
python-poetry/poetry,Python packaging and dependency management made easy,33026,2342,492,189
geekcomputers/Python,My Python Examples,32961,12505,309,2429
kilimchoi/engineering-blogs,A curated list of engineering blogs,32949,1753,22,1051
bilibili/ijkplayer,"Android/iOS video player based on FFmpeg n3.4, with MediaCodec, VideoToolbox support.",32827,8179,2828,1183
carbon-language/carbon-lang,"Carbon Language's main repository: documents, design, implementation, and related tools. (NOTE: Carbon Language is experimental; see README)",32809,1494,136,376
zsh-users/zsh-autosuggestions,Fish-like autosuggestions for zsh,32730,1891,152,186
shadowsocks/ShadowsocksX-NG,Next Generation of ShadowsocksX,32711,7921,307,938
portainer/portainer,Making Docker and Kubernetes management easy.,32686,2572,575,473
ChrisTitusTech/winutil,"Chris Titus Tech's Windows Utility - Install Programs, Tweaks, Fixes, and Updates",32622,1829,212,289
harness/harness,"Harness Open Source is an end-to-end developer platform with Source Control Management, CI/CD Pipelines, Hosted Developer Environments, and Artifact Registries.",32606,2842,70,543
Pythagora-io/gpt-pilot,The first real AI developer,32593,3306,233,297
usebruno/bruno,Opensource IDE For Exploring and Testing Api's (lightweight alternative to postman/insomnia),32587,1553,1163,93
bayandin/awesome-awesomeness,A curated list of awesome awesomeness,32516,3573,16,1659
ryanhanwu/How-To-Ask-Questions-The-Smart-Way,本文原文由知名 Hacker Eric S. Raymond 所撰寫，教你如何正確的提出技術問題並獲得你滿意的答案。,32404,5709,9,421
mattermost/mattermost,Mattermost is an open source platform for secure collaboration across the entire software development lifecycle..,32329,7712,651,541
huiyadanli/RevokeMsgPatcher,:trollface: A hex editor for WeChat/QQ/TIM - PC版微信/QQ/TIM防撤回补丁（我已经看到了，撤回也没用了）,32327,3616,76,270
CMU-Perceptual-Computing-Lab/openpose,"OpenPose: Real-time multi-person keypoint detection library for body, face, hands, and foot estimation",32311,7936,330,919
google/material-design-lite,Material Design Components in HTML/CSS/JS,32291,5001,380,1165
hiroi-sora/Umi-OCR,"OCR software, free and offline. 开源、免费的离线OCR软件。支持截屏/批量导入图片，PDF文档识别，排除水印/页眉页脚，扫描/生成二维码。内置多国语言库。",32264,3258,189,170
hashicorp/vault,"A tool for secrets management, encryption as a service, and privileged access management",32234,4338,1088,800
certbot/certbot,Certbot is EFF's tool to obtain certs from Let's Encrypt and (optionally) auto-enable HTTPS on your server.  It can also act as a client for any other CA that uses the ACME protocol.,32120,3430,130,746
swc-project/swc,Rust-based platform for the Web,32095,1279,381,153
SeleniumHQ/selenium,A browser automation framework and ecosystem.,32091,8401,162,1282
qishibo/AnotherRedisDesktopManager,"🚀🚀🚀A faster, better and more stable Redis desktop manager [GUI client], compatible with Linux, Windows, Mac.",32072,2629,125,268
lllyasviel/ControlNet,Let us control diffusion models!,32049,2868,426,223
ShareX/ShareX,"ShareX is a free and open source program that lets you capture or record any area of your screen and share it with a single press of a key. It also allows uploading images, text or other types of files to many supported destinations you can choose from.",32048,3357,545,543
fastapi/full-stack-fastapi-template,"Full stack, modern web application template. Using FastAPI, React, SQLModel, PostgreSQL, Docker, GitHub Actions, automatic HTTPS and more.",32044,5968,167,282
